,original
0,"@My_Kind_World @OfficialDMRC @DCP_DelhiMetro @dmgbnagar @myogioffice @myogiadityanath @PMOIndia @narendramodi @TheDogMother_ @journalist_jps @dan710ths @Vibhachugh1 @DarPallavi @joedelhi @NarvijayYadav @poojaforanimals @SmartSanctuary These are plastic spikes that are not at all harmful to birds. Also birds know better to go sit elsewhere, there’s plenty of space for them around. The management is just protecting the crucial electronics and electricals, as well as our heads from receiving their droppings."
3,"RT @My_Kind_World: Bird spikes installed in #NoidaCityCenterMetroStation
Is this the right way to remove birds? This is a cruelty to birds…"
4,"RT @OfficialDMRC: Wear a mask at all times to prevent the spread of the virus as much as possible.

#StoptheSpread
#DelhiMetro https://t.co…"
9,RT @OfficialDMRC: @Himansh42462529 Hi. Please provide smart card number and transaction details for checking further.
10,@OfficialDMRC  Please Clean this Asap!! https://t.co/dwdWYXp2ul
14,"RT @OfficialDMRC: Wear a mask at all times to prevent the spread of the virus as much as possible.

#StoptheSpread
#DelhiMetro https://t.co…"
15,"@OfficialDMRC My Smart Card Number is 46171359

30th May Rs 300*4 and 100*7
29th May Rs 100*1 https://t.co/jgfbE2oMcZ"
18,"@OfficialDMRC I have recharge my smart card through Amazon pay Rs 2000 as on dated 29/30 May 2022 but credited Rs 1600, what I do.."
19,"RT @OfficialDMRC: Wear a mask at all times to prevent the spread of the virus as much as possible.

#StoptheSpread
#DelhiMetro https://t.co…"
25,"RT @OfficialDMRC: Wear a mask at all times to prevent the spread of the virus as much as possible.

#StoptheSpread
#DelhiMetro https://t.co…"
30,"RT @OfficialDMRC: Wear a mask at all times to prevent the spread of the virus as much as possible.

#StoptheSpread
#DelhiMetro https://t.co…"
31,"RT @OfficialDMRC: Wear a mask at all times to prevent the spread of the virus as much as possible.

#StoptheSpread
#DelhiMetro https://t.co…"
33,"RT @OfficialDMRC: Wear a mask at all times to prevent the spread of the virus as much as possible.

#StoptheSpread
#DelhiMetro https://t.co…"
34,@OfficialDMRC Coach No M3A08 some kind of sound is continuously coming while metro is moving please look immediately
35,@ChitraAhanthem @OfficialDMRC Yes That Happens Frequently!
37,"RT @OfficialDMRC: Wear a mask at all times to prevent the spread of the virus as much as possible.

#StoptheSpread
#DelhiMetro https://t.co…"
43,"RT @OfficialDMRC: Wear a mask at all times to prevent the spread of the virus as much as possible.

#StoptheSpread
#DelhiMetro https://t.co…"
47,@OfficialDMRC long lines daily in the hot sunny morning   at dwarka metro station this is only due to only one x ray machine need atleast one more machine to go smoothly. https://t.co/ObXmm7HNib
51,"@RoshanRaj08 @aarnavg17 @OfficialDMRC @AmirSai43048804 @OfficialDMRC DMRC has started operating trains from Vishvidalaya to Qutab Minar and Samaypur Badli to Huda City. Qutab Minar metro runs empty but Huda metro gets full at Kashmiri gate itself.

Ideally from University to Huda should run to manage crowd.

Nonsense DMRC Officials."
52,"@OfficialDMRC 

Dear Metro, 
Your AC is not working,passenger are suffering, please take action, I am in coach number M2 B08, reached at sikandar from Hauz khas"
68,"RT @Nm3530: @CMODelhi @OfficialDMRC @cpsavesoil @ArvindKejriwal  @delhi Good initiative, by display in Delhi metro will spread the awarenes…"
70,"@CMODelhi @OfficialDMRC @cpsavesoil @ArvindKejriwal  @delhi Good initiative, by display in Delhi metro will spread the awareness for good reach with more impact . #SaveSoil #SaveSoilMovement #pollution #Gurgaon https://t.co/0Ge0NKMrFM"
85,"RT @My_Kind_World: Bird spikes installed in #NoidaCityCenterMetroStation
Is this the right way to remove birds? This is a cruelty to birds…"
88,@OfficialDMRC alot of metro staff dnt wear mask/keep it down but 2day they knew that v have a conspiracy of fine going on everyone's mask was up according to dis u shud make an announcement 4 the public too that 2day we will fine U.Also the staff got the payment on personal QR
90,"@OfficialDMRC
Today I got fined of 200 INR because I kept my mask down for two minutes.....reason being The escalator at janakpuri west was not working and the metro took 8-12 minutes... I was sweating and suffocating at the same time...."
94,"Why does this blue line suck?/.... Why is it hot inside metro... why isn't the ac working...damn!😩
#delhimetro @OfficialDMRC"
108,"@OfficialDMRC Coach no M7D033 
Pink Line ,Way to Maujpur-Babarpur,

Look like Someone is Vomet , Please Clean 🙏🙏. https://t.co/N6pYrR7yjJ"
113,"@OfficialDMRC Hello @Paytm @PaytmBank @Paytmcare kindly reverse Rs 200 with merchant I'd 114161388.

and Rs 100 with merchant I'd 114162128. all are failed to recharge metro card."
119,"@kgahlot @OfficialDMRC Sir, On Green line only 4 coaches metro is in operational, and rush in metro is extremely high and we have filed many complaints regarding this but no action was taken.. also in every metro coach on green line alternate lights are switched on .. Request to take action pls"
120,@OfficialDMRC Hello @Paytm kindly reverse the amount 100 with merchant I'd 114162128.
127,There have been recurring incidences of breakdowns on various lines of Delhi Metro this month causing inconvenience to passengers. Have directed @OfficialDMRC to submit investigation report in next 7 days on the breakdowns and remedial action taken to ensure seamless operations.
130,"RT @My_Kind_World: Bird spikes installed in #NoidaCityCenterMetroStation
Is this the right way to remove birds? This is a cruelty to birds…"
133,"Dear @OfficialDMRC please look into it, payment done, but several time trying to top up not responding https://t.co/Yiplv94dni"
138,"@OfficialDMRC Yes metro is lifeline of Delhi but now a days, its having all kind of problems:

Slow services,
Maintenance issues,
Escalators not working,
Crowded stations."
140,"Why there is a interchange at Maujpur-Babarpur metro station for the same line? 
It is very irritating to change for the same line. Kindly make it direct from Majlis Park to Shiv vihar.
@OfficialDMRC"
141,"Hello @OfficialDMRC 
Lots of my friends (unemployed students) are facing the issue regarding parking, they're always deducted fees for 12hr instead of actual hrs they parked(near about 6.40hrs)
So our humble request it to please introduce some new schemes for students too.#DMRC"
142,"Hello @OfficialDMRC
Lots of my friends (unemployed students) are facing the issue regarding parking, they're always deducted fees for 12hr instead of actual hrs they parked.
So our humble request it to please introduce some new schemes for students too.
#DMRC"
144,Dear @OfficialDMRC  most of people travelling without mask kindly take appropriate action. https://t.co/ftfYjZKOxn
145,"Hello @OfficialDMRC
I'm a student and facing a problem regarding parking charges. I daily park my scooty at majlis park station and returns there after 6.3hrs and they always deduct parking fees for 12hrs. My request is to introduce some new parking schemes for students.
#DMRC"
146,"@OfficeofAK9 @OfficialDMRC @DCP_DelhiMetro @dcprohinidelhi @HardeepSPuri @MoHUA_India @Gupta_vijender @LtGovDelhi Thanks, area traffic officer has been informed to take necessary action."
148,"RT @My_Kind_World: Bird spikes installed in #NoidaCityCenterMetroStation
Is this the right way to remove birds? This is a cruelty to birds…"
151,@KSbipul @OfficialDMRC Its a matter of great investigation....hope @narendramodi will take strong action into this 🤣😅
153,@OfficialDMRC at the exit point of stairs near Qutab Minar metro station approaching towards Chhatarpur temple there are many illegal shops and they act like the goons from the passengers. Pl remove them as soon as possible in public interest https://t.co/fMESrfU1YA
156,"@OfficialDMRC i had raised complained 3-4 days back. As I had recharged my metro card through paytm for 100 rs recharged was successful but when I try to topup on EVM machine there was showing no topup available. Details attached, number- 9811786656 card no- 37481103 https://t.co/ogJK8z9FaP"
159,@OfficialDMRC DMRC services very good tere bina Gujara e dil he mushkil ❤️
165,"RT @yog_ankitg30: @OfficialDMRC 
Dear sir, kindly let us know why the METRO runs slowly between Malviya Nagar to Hauz khas and visa-versa.…"
166,This is a big disrespectful to our Bhagwan @officialdmrc @delhipolice kindly remove this kind of images everywhere around @UPGovt @PMOIndia https://t.co/4JT1W0acr3
168,"RT @My_Kind_World: Bird spikes installed in #NoidaCityCenterMetroStation
Is this the right way to remove birds? This is a cruelty to birds…"
169,"I Request @OfficialDMRC as being a part of ngo @officeofJsrs to remove these photos on urgent basis. It's hurting religious sentiments of hindus otherwise necessary actions will be taken.

@DelhiPolice @BajrangDalOrg @TajinderBagga https://t.co/zFTD1LB9eO https://t.co/c7fKIPDA5g"
170,"RT @My_Kind_World: Bird spikes installed in #NoidaCityCenterMetroStation
Is this the right way to remove birds? This is a cruelty to birds…"
172,"I still haven't get any update and the action taken against the employee. Wowwwww
@AshwiniVaishnaw @RailMinIndia @RailwaySeva @OfficialDMRC @narendramodi @PMOIndia"
174,"RT @My_Kind_World: Bird spikes installed in #NoidaCityCenterMetroStation
Is this the right way to remove birds? This is a cruelty to birds…"
176,"RT @My_Kind_World: Bird spikes installed in #NoidaCityCenterMetroStation
Is this the right way to remove birds? This is a cruelty to birds…"
182,RT @priyam0308: Thank you @OfficialDMRC @ArvindKejriwal @msisodia @Secretary_MoHUA for finding my belonging. Much appreciated 😊 https://t.c…
184,"RT @My_Kind_World: Bird spikes installed in #NoidaCityCenterMetroStation
Is this the right way to remove birds? This is a cruelty to birds…"
185,"RT @My_Kind_World: Bird spikes installed in #NoidaCityCenterMetroStation
Is this the right way to remove birds? This is a cruelty to birds…"
186,"Bird spikes installed in #NoidaCityCenterMetroStation
Is this the right way to remove birds? This is a cruelty to birds which is being promoted openly.
@OfficialDMRC @DCP_DelhiMetro 
@dmgbnagar @myogioffice @myogiadityanath @PMOIndia @narendramodi https://t.co/M2QdLB2rK8"
187,"@OfficialDMRC 
Will there still be a fine for not wearing a mask in Delhi Metro?"
188,"I Request @officialdmrc as being a part of ngo @officeofJsrs to remove these photos on urgent https://t.co/iQ4UsiiFk8's hurting religious sentiments of hindus otherwise necessary actions will be taken.

@DelhiPolice @BajrangDalOrg @TajinderBagga https://t.co/z5rnetd0Li"
191,"I Request @officialdmrc as being a part of ngo @officeofJsrs to remove these photos on urgent https://t.co/p0jyYDetp1's hurting religious sentiments of hindus otherwise necessary actions will be taken.

@DelhiPolice @BajrangDalOrg @TajinderBagga https://t.co/j574SFZzln"
192,"@OfficialDMRC, Kindly cover the water tank of Kalka ji Mandir tank for Magenta line to avoid breeding of mosquitoes. @ManchNajafgarh @LtGovDelhi @kgahlot https://t.co/gytWWBrvL3"
193,"I Request @officialdmrc as being a part of ngo @officeofJsrs to remove these photos on urgent https://t.co/p0jyYDwCD9's hurting religious sentiments of hindus otherwise necessary actions will be taken.

@DelhiPolice @BajrangDalOrg @TajinderBagga https://t.co/BGqdI5X6VW"
194,"I Request @officialdmrc as being a part of ngo @officeofJsrs to remove these photos on urgent https://t.co/gUdjXTchHo's hurting religious sentiments of hindus otherwise necessary actions will be taken.

@DelhiPolice @BajrangDalOrg @TajinderBagga https://t.co/enSXwSrGZe"
198,@OfficialDMRC Thank you very much DMRC team.
199,"I Request @OfficialDMRC ।as being a part of ngo @officeofJsrs to remove these photos on urgent https://t.co/OHCpM7Y3rT's hurting religious sentiments of hindus otherwise necessary actions will be taken.

@DelhiPolice @BajrangDalOrg @TajinderBagga https://t.co/b8SouvK0Tl"
200,"I Request @officialdmrc as being a part of ngo @officeofJsrs to remove these photos on urgent https://t.co/ZAPMDIqhqf's hurting religious sentiments of hindus otherwise necessary actions will be taken.

@DelhiPolice @BajrangDalOrg @TajinderBagga https://t.co/FSwOjxaaaC"
201,"I Request @officialdmrc as being a part of ngo @officeofJsrs to remove these photos on urgent https://t.co/tTh20es9L1's hurting religious sentiments of hindus otherwise necessary actions will be taken.

@DelhiPolice @BajrangDalOrg @TajinderBagga https://t.co/IKI8zdwP3C"
202,"I Request @officialdmrc as being a part of ngo @officeofJsrs to remove these photos on urgent https://t.co/mcKYccoJtQ's hurting religious sentiments of hindus otherwise necessary actions will be taken.

@DelhiPolice @BajrangDalOrg @TajinderBagga https://t.co/O3G6LSJCi4"
205,@parasaggarwal6 @OfficialDMRC @DelhiPolice @BajrangDalOrg @TajinderBagga Metro Police is taking action in your matter. Thank you for contacting DCP/Metro.
207,"I Request @officialdmrc to remove these photos on urgent https://t.co/mef6nFsRL3's hurting religious sentiments of hindus otherwise necessary actions will be taken.

@DelhiPolice @BajrangDalOrg @TajinderBagga https://t.co/NsJbHZKkQj"
208,"I Request @officialdmrc as being a part of ngo @officeofJsrs to remove these photos on urgent basis. It's hurting religious sentiments of hindus otherwise necessary actions will be taken.

@DelhiPolice @BajrangDalOrg @TajinderBagga https://t.co/yBOq3bJRPL"
209,"I Request @OfficialDMRC as being a part of ngo @officeofJsrs to remove these photos on urgent basis. It's hurting religious sentiments of hindus otherwise necessary actions will be taken.

@DelhiPolice @BajrangDalOrg @TajinderBagga https://t.co/0X4y9oBe9S"
210,"I Request @officialdmrc as being a part of ngo @officeofJsrs to remove these photos on urgent https://t.co/f740ro4Qt0's hurting religious sentiments of hindus otherwise necessary actions will be taken.

@DelhiPolice @BajrangDalOrg @TajinderBagga https://t.co/wuOcqico68"
211,"I Request @OfficialDMRC as being a part of NGO @officeofJsrs to remove these photos on urgent basis. It's hurting religious sentiments of Hindus otherwise necessary actions will be taken. This is for the second time we're requesting this.
@DelhiPolice @BajrangDalOrg @p_sahibsingh https://t.co/YQvYe8tbTL"
213,"I Request @officialdmrc as being a part of ngo @officeofJsrs to remove these photos on urgent https://t.co/VV7W8CDUcR's hurting religious sentiments of hindus otherwise necessary actions will be taken.

@DelhiPolice @BajrangDalOrg @TajinderBagga @OfficialDMRC https://t.co/RiGNFwRsrB"
214,"I did aa recharge of ₹100/ in my metro card (no. 37378601 ) but it's not showing top up when I put it in AVM
Please refund the amount @OfficialDMRC 
Card no. is 37378601
Refrence no. 114246644
Order I'd . 18371601928"
215,"I Request @officialdmrc as being a part of ngo @officeofJsrs to remove these photos on urgent basis. It's hurting religious sentiments of hindus otherwise necessary actions will be taken.

@DelhiPolice @BajrangDalOrg @TajinderBagga https://t.co/Jz0JSWlAuu"
216,@OfficialDMRC I think you shoud play some soft retro bollywood music in delhi metro. What say🤗🤙
221,@rqrehman1582 @OfficialDMRC Hey We know they do service round the clock and I m not complaining for there service but being nationalists we should bring the issue so that can rectify it rather wait them to find on own and do there work ... This will help them do give service better .
224,"I Request @officialdmrc as being a part of ngo @officeofJsrs to remove these photos on urgent https://t.co/S1tBrSEoU2's hurting religious sentiments of hindus otherwise necessary actions will be taken.

@DelhiPolice @BajrangDalOrg @TajinderBagga https://t.co/k5GA0I1gfx"
226,"RT @AvinPrabhakar: While on the way to home, my phone was snatched away near Mandavali Metro station @OfficialDMRC by two bikers at around…"
227,"I Request @officialdmrc as being a part of ngo @JAISHRIRAMSENA to remove these photos on urgent basis. It's hurting religious sentiments of hindus otherwise necessary actions will be taken.

@DelhiPolice @BajrangDalOrg @TajinderBagga https://t.co/H8XgWwQGnq"
229,"I Request @officialdmrc as being a part of ngo @JAISHRIRAMSENA to remove these photos on urgent https://t.co/cLbaRbdkSP's hurting religious sentiments of hindus otherwise necessary actions will be taken.

@DelhiPolice @BajrangDalOrg @TajinderBagga https://t.co/UJb0ZzXtuJ"
232,RT @mukulfaiz: This is first coach in @OfficialDMRC reserved for females. @CISFHQrs has often  thrashed men who have entered the first coac…
234,@OfficialDMRC The escalator at gate no.4 of central secretariat metro station is out of order for the past several weeks due to maintenance work. It is requested to kindly arrange to expedite the repairing work.
235,"@OfficialDMRC if I miss my station do I have to pay 50 rs fine ?
Missing station means I am offender ? https://t.co/S8InCOjA6I"
237,@OfficialDMRC PIDS is not working properly at Civil Lines Metro Station platform 1. Please look at this as it causes inconvenience. This is situation at 8.40AM if working fine at this moment then can't say. https://t.co/C3mXwnXvzS
238,@OfficialDMRC Thank you so much
239,@OfficialDMRC Please Play some soft classical music in metro
245,@OfficialDMRC please get this cleaned. On blue line metro. Just leaved uttam nagar metro station. Coach no.M3A12 https://t.co/gTxkwhlUIO
250,RT @D_Rikhari90: @OfficialDMRC  please take strict action as today also face same issue. Bus photo attached. https://t.co/Bq4zzdzZm7
253,"@OfficialDMRC still peoples not wearing #mask , I am not seeing to take action on such kind of offence from your side. Coach no M7C012 travelling towers Lajpatnagra"
257,"Good things also need to be shared we should criticize wrong thing but at the same time we should also praise good things too don't be ignorant have some gratitude.
Thankyou @OfficialDMRC https://t.co/LPtKbUKHdZ"
258,"Same happens with me daily but no action taken by Delhi metro @OfficialDMRC .Today also still waiting for metro which was scheduled to come at 8:40 AM arrived here at 8:50 AM.
Display Always shows us that it's coming in 1 minutes.@bahadurgarhcitymetro."
262,"@Rajninegi990413 @OfficialDMRC @GoluKum49259791 U r right, 2 baithe hai ek khade https://t.co/KVfEcgEWpi"
263,"@BBCWorld @TOIIndiaNews @htTweets @BJP4India @AamAadmiParty @OfficialDMRC
INDIA MAY BE THE FIRST COUNTRY WHERE PSU IS PENALISED AGAINST PRIVATE COMPANY. EITHER CORRUPTION OR TRUE NATIONALISM. SHAME... https://t.co/CSw38WOJMT"
266,"@Ohhh_sharma @OfficialDMRC @GoluKum49259791 As per law any person above 60 years is considered Senior Citizen , Old person are sometime difficult to understand but treat them if they are from your family everything becomes easy You are young and impatient but try to be courteous ."
268,"RT @OfficialDMRC: Strengthen your body, mind &amp; soul with the goodness of yoga!
On the occasion of 'International yoga day' DMRC employees &amp;…"
275,@OfficialDMRC No you need to inform Public in first day if all arrangements not done and delay
280,"@gargatul65 @OfficialDMRC thanks a ton @gargatul65 Sir-will wait 4 ur positive, visionary &amp; visible action in this regard 4 not only inside @OfficialDMRC trains but also at public accessible areas of stations so that in exigencies any person with knowledge of firefighting can contribute to mitigate losses"
281,"Dear @OfficialDMRC #NDLS metro station being the oldest, still doesn't have any escalator towards gate 1&amp;2,neither does the escalator to new overpass walk works. Isn't it a massive blunder of engineering and trouble for luggage carrying passengers?
@PMOIndia @DelhiRail https://t.co/WPqceXKPnT"
284,"@OfficialDMRC  Male passangers are seen travelling in women's section regularly and no security was there to take action, especially in line Brigadier Hoshiar Singh to Kirti nagar/Inderlok metro. 

Still no action is taken."
285,"RT @CraftsDimple: @OfficialDMRC Male passangers are seen travelling in women's section regularly and no security was there to take action,…"
287,@raghvendra2402 @RoshanRaj08 @OfficialDMRC @ndtvvideos @BBCHindi Lmao this is funny
288,@MetroRailKochi Was this stretch developed by @OfficialDMRC  or @MetroRailKochi directly?
291,"If you get your card recharged from customer care booth, you have to pay minimum Rs.200 but if you recharge the card using vending machine, the minimum you pay is Rs.100. @OfficialDMRC please kindly enlighten us what is the rationale behind this? #Delhimetro"
296,"@OfficialDMRC  kindly check the air conditioning of the metro , it's the peak time and everyone wearing mask feel suffocation.

Please look into it .
Disappointing !"
300,@PawanGupta72012 @OfficialDMRC Mask in Delhi metro is a farce. No one follows it. Tweeting this travelling in a metro right now.
303,"RT @OfficialDMRC: Strengthen your body, mind &amp; soul with the goodness of yoga!
On the occasion of 'International yoga day' DMRC employees &amp;…"
304,@ValaAfshar Great technology @MumMetro  @OfficialDMRC  @metrorailpune
305,@OfficialDMRC no comments received. @delhifire @gargatul65 may kindly take note.
306,"@OfficialDMRC 4 watches but 3 different time showing.
Train waiting time not available,
Kindly check at sec 34 noida station https://t.co/CmGwK2cJ8X"
307,"RT @kinglia79911461: @OfficialDMRC inside trains there are fire extinguishers but there is no way to quickly locate them, there is no infor…"
