,Unnamed: 0,user_name,user_location,user_description,user_verified,date,text,original,hashtags,source,Subjectivity,Polarity,analysis,label,Topic modelling LDA,Topic modeling lDA Tuning
0,0,Niladri Haldar,"Siliguri, India",Consultant Pathologist,False,2022-06-23 08:06:47,mykindworld officialdmrc dcpdelhimetro dmgbnagar myogioffic myogiadityanath pmoindia narendramodi thedogmoth journalistjp danth vibhachugh darpallavi joedelhi narvijayyadav poojaforanim smartsanctuari plastic spike harm bird also bird know better go sit elsewher plenti space around manag protect crucial electron electr well head receiv drop,"@My_Kind_World @OfficialDMRC @DCP_DelhiMetro @dmgbnagar @myogioffice @myogiadityanath @PMOIndia @narendramodi @TheDogMother_ @journalist_jps @dan710ths @Vibhachugh1 @DarPallavi @joedelhi @NarvijayYadav @poojaforanimals @SmartSanctuary These are plastic spikes that are not at all harmful to birds. Also birds know better to go sit elsewhere, there’s plenty of space for them around. The management is just protecting the crucial electronics and electricals, as well as our heads from receiving their droppings.",,Twitter for iPhone,0.75,0.25,positive,2,"0.064*""metro"" + 0.048*""delhi"" + 0.044*""station"" + 0.024*""polio"" + 0.023*""puls""","0.036*""metro"" + 0.034*""station"" + 0.031*""gate"" + 0.028*""close"" + 0.026*""card"""
1,1,Sameer Gajjar,"Bengaluru, India",keep Life simple ☮️ !!  #smile #happiness #motivation #positivity #counsellor #counselling.,False,2022-06-23 07:55:35,concern hebbaltrafficp blrcitytraff request author plz take guidanc central govt give relief bengaluru citizen citi choke anillulla bsbommai bbmpcomm nammabengaluroo cmofkarnataka narendramodi amitshah wfwatcher ndmcscl officialdmrc cpronaamametro httpstcoxeykrdnkvc,"@concern13161846 @hebbaltrafficps @blrcitytraffic Requesting the authorities here plz take some guidance from Central Govt. to give some relief  to Bengaluru citizens, the city is choking 🙏🏻@anil_lulla @BSBommai @BBMPCOMM @NammaBengaluroo @CMofKarnataka @narendramodi @AmitShah @WF_Watcher @ndmcscl @OfficialDMRC @cpro3naamametro https://t.co/XeykRDnKVc",,Twitter for iPhone,0.25,0.0,neutral,1,"0.071*""metro"" + 0.057*""station"" + 0.053*""http"" + 0.025*""action"" + 0.021*""take""","0.019*""aarnavg"" + 0.019*""line"" + 0.016*""metro"" + 0.016*""video"" + 0.016*""mask"""
2,2,Rupsha Mukherjee,,"Adoption Coordinator For Voiceless | 
Human Resource Manager By Profession | 
Humanity Should Be Our Race | 
Compassion Should Be Our Religion |",False,2022-06-23 07:54:03,officialdmrc thank revert instead spike pls use differ method prevent bird fragil get hurt tough treat hope see chang soon thank,@OfficialDMRC Thanks for the revert. Instead of spikes pls use a different method to prevent. Birds are very fragile if they gets hurt it's very tough to treat them. Hope we will see a change soon. Thank you.,,Twitter for Android,0.8333333333333334,-0.3888888888888889,negative,0,"0.077*""http"" + 0.048*""card"" + 0.047*""delhimetro"" + 0.043*""bird"" + 0.037*""metro""","0.059*""gate"" + 0.053*""secur"" + 0.031*""reason"" + 0.030*""metro"" + 0.029*""updat"""
3,3,Ayush,,,False,2022-06-23 07:52:30,rt mykindworld bird spike instal noidacitycentermetrost right way remov bird cruelti bird,"RT @My_Kind_World: Bird spikes installed in #NoidaCityCenterMetroStation
Is this the right way to remove birds? This is a cruelty to birds…",['NoidaCityCenterMetroStation'],Twitter for Android,0.5357142857142857,0.2857142857142857,positive,2,"0.077*""http"" + 0.048*""card"" + 0.047*""delhimetro"" + 0.043*""bird"" + 0.037*""metro""","0.059*""gate"" + 0.053*""secur"" + 0.031*""reason"" + 0.030*""metro"" + 0.029*""updat"""
4,4,Siraj Ahamad,,,False,2022-06-23 07:49:50,rt officialdmrc wear mask time prevent spread virus much possibl stopthespread delhimetro httpstco,"RT @OfficialDMRC: Wear a mask at all times to prevent the spread of the virus as much as possible.

#StoptheSpread
#DelhiMetro https://t.co…","['StoptheSpread', 'DelhiMetro']",Twitter for Android,0.2,0.2,positive,2,"0.077*""http"" + 0.048*""card"" + 0.047*""delhimetro"" + 0.043*""bird"" + 0.037*""metro""","0.059*""gate"" + 0.053*""secur"" + 0.031*""reason"" + 0.030*""metro"" + 0.029*""updat"""
5,5,Robert,,I am diferent from other.,False,2022-06-23 07:47:52,mykindworld officialdmrc dcpdelhimetro dmgbnagar myogioffic myogiadityanath pmoindia narendramodi thedogmoth journalistjp danth vibhachugh darpallavi joedelhi narvijayyadav poojaforanim smartsanctuari dnt hav commonsens,@My_Kind_World @OfficialDMRC @DCP_DelhiMetro @dmgbnagar @myogioffice @myogiadityanath @PMOIndia @narendramodi @TheDogMother_ @journalist_jps @dan710ths @Vibhachugh1 @DarPallavi @joedelhi @NarvijayYadav @poojaforanimals @SmartSanctuary Dnt you hav any commonsense😆,,Twitter Web App,0.0,0.0,neutral,1,"0.064*""metro"" + 0.048*""delhi"" + 0.044*""station"" + 0.024*""polio"" + 0.023*""puls""","0.036*""metro"" + 0.034*""station"" + 0.031*""gate"" + 0.028*""close"" + 0.026*""card"""
6,6,Rajeev Mittal🇮🇳,"Navi Mumbai, India","बदलाव संभव है!
2022 में मांद में घुसएंगे!
2024 में शिकार करेंगे😎
#AAP

Past Lived in- Kota,Surat,Ajmer,New Dehli,Mohali,Banglore! Alternate acc  @RajeevNMittal",False,2022-06-23 07:47:48,rt kgahlot recur incid breakdown various line delhi metro month caus inconveni passeng,RT @kgahlot: There have been recurring incidences of breakdowns on various lines of Delhi Metro this month causing inconvenience to passeng…,,Twitter for Android,0.5,0.0,neutral,1,"0.106*""metro"" + 0.048*""gate"" + 0.047*""line"" + 0.040*""secur"" + 0.035*""updat""","0.031*""servic"" + 0.026*""line"" + 0.020*""dmrc"" + 0.019*""delay"" + 0.017*""yellow"""
7,7,SinghBhhupinder,,Realistic,False,2022-06-23 07:45:04,priyaku officialdmrc come toward uttam nagar west metro station half road metro station occupi erickshaw travel wrong side impact flow traffic throughout day,@PriyaKu73754749 @OfficialDMRC Come towards Uttam Nagar West metro station and half the road under metro station there is occupied by the e-rickshaws who travel on the wrong side and impact the flow of traffic throughout the day,,Twitter for Android,0.5333333333333333,-0.3333333333333333,negative,0,"0.081*""metro"" + 0.047*""station"" + 0.034*""time"" + 0.031*""train"" + 0.025*""coach""","0.034*""http"" + 0.034*""delhimetro"" + 0.026*""leav"" + 0.026*""zhvetjj"" + 0.025*""friend"""
8,8,Syed,,,False,2022-06-23 07:34:57,mykindworld officialdmrc dcpdelhimetro dmgbnagar myogioffic myogiadityanath pmoindia narendramodi thedogmoth journalistjp danth vibhachugh darpallavi joedelhi narvijayyadav poojaforanim smartsanctuari realli shame expect gov org way keep bird away,"@My_Kind_World @OfficialDMRC @DCP_DelhiMetro @dmgbnagar @myogioffice @myogiadityanath @PMOIndia @narendramodi @TheDogMother_ @journalist_jps @dan710ths @Vibhachugh1 @DarPallavi @joedelhi @NarvijayYadav @poojaforanimals @SmartSanctuary It's really shame, not expected from gov org , is this is only way to keep birds away?",,Twitter for Android,0.0,0.0,neutral,1,"0.064*""metro"" + 0.048*""delhi"" + 0.044*""station"" + 0.024*""polio"" + 0.023*""puls""","0.036*""metro"" + 0.034*""station"" + 0.031*""gate"" + 0.028*""close"" + 0.026*""card"""
9,9,Himanshu Ranjan,,,False,2022-06-23 07:31:06,rt officialdmrc himansh hi pleas provid smart card number transact detail check,RT @OfficialDMRC: @Himansh42462529 Hi. Please provide smart card number and transaction details for checking further.,,Twitter Web App,0.6428571428571429,0.21428571428571427,positive,2,"0.077*""http"" + 0.048*""card"" + 0.047*""delhimetro"" + 0.043*""bird"" + 0.037*""metro""","0.059*""gate"" + 0.053*""secur"" + 0.031*""reason"" + 0.030*""metro"" + 0.029*""updat"""
